ID;Nom;Query;place;salaire;Description;competence;url
30;TorRemote Torrance, CA, CA Full-Time/Part-Time;Remote Part Time Data Entry Clerk / Typing - Work From Home Online;Californie;$45,866 - $67,944/Year;"Remote work from home administrative assistant, data entry clerk, typing, customer service representative - Remote Part Time Data Entry Clerk / Typing - Work From Home Online

We are seeking individuals who are looking for part time or full time work or side gigs to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time remote opportunities in a variety of career fields.

Legitimate Work From Home Data Entry Jobs are going to require that you have skills relevant to the position you are applying for. Training is provided based on the position.
JOB REQUIREMENTS
Computer with internet access
Quiet work space away from distractions
Must be able and comfortable to working in an environment without immediate supervision
Ability to read, understand, and follow oral and written instructions.
Data entry or administrative assistant experience is not needed but can be a bonus
We are recruiting those who have a background in health care, ware house worker, delivery drivers, customer service, etc - we welcome all backgrounds so long as you're ready to learn
You must apply on our website only.
#COVID-19
Location: Work At Home Positions (Remote)
Employment Type: Part time/full time independent
Career / Skills Level required: Entry Level
Department: Remote work from home data entry
Education: HS Diploma / GED / Entry Level
Experience: Entry Level, none
Typing 25+ words per minute 
You enjoy data entry work and can perform the work from your home or location of choosing (remote work at home job)
Computer with internet access
It is crucial that you be self-motivated and able to follow explicit directions to begin working from home
Self Motivated - you must be 100% able to commit to working with little supervision
Work from home jobs of this nature require Internet and one of the following: Laptop or PC, MAC, or Smart Device - Android or IOS
Ready to get started? Start today and get paid next week.

Thanks for checking us out and we look forward to helping you achieve your goals!

Our folks come from a wide variety of backgrounds like customer service representative, administrative assistant, health care workers, human resources, warehouse workers, car delivery drivers and many more. 
Recommended Skills
Android Or I Os Computer / Laptop Customer Service Data Entry Internet Remote / Work From Home
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: NEWT A11 extra
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Android', 'Or', 'I', 'Os', 'Computer', '/', 'Laptop', 'Customer', 'Service', 'Data', 'Entry', 'Internet', 'Remote', '/', 'Work', 'From', 'Home']];https://www.careerbuilder.com/job/J2N3DP6DY6KCSSY4DX4
31;PrideStaff Manhattan Beach, CA Full Time;Human Resource-Recruiting Manager;Californie;$55,000 - $75,000/Year;"Work Hard, Play Hard and be a part of a FUN work culture!

A rare opportunity to join a new office right by the beach.
Contribute by developing your processes on finding talent in the insurance industry.

This is a direct hire position that pays up to $75,000 plus commission, insurance,401k and other benefits.
What you'll do:
Source, match and interview candidates for open positions
Hire positions in the sales, underwriting and other new positions
Learn and comprehend the hiring system
Onboard new employees and provide orientation details
Create creative recruitment processes
Manage full lifecycle recruiting and drives sourcing for key talent
What's required:
5 years recruiting experience
Undergraduate Education
Insurance background a PLUS
Desire to work in a FUN and Dynamic environment with peers/co-workers

Recommended Skills
Computer Proficiency Recruitment Relationship Building Self Motivated
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Computer', 'Proficiency', 'Recruitment', 'Relationship', 'Building', 'Self', 'Motivated']];https://www.careerbuilder.com/job/JD83Y26YXC6QVWQYHHV
32;Volt Glendale, CA, CA Full Time;Executive Assistant;Californie;$28.00 - $31.00/Hour;"Volt is seeking an Executive Assistant in the Glendale, CA area. The Assistant is responsible for the day-to-day workings of the General Manager and her team. The Assistant would work closely with the Executive Assistant to the Vice President, Corporate Innovation. Specific activities, such as our end-of-program Demo Day, will include scheduling 100+ executives, interacting regularly with their Executive Assistants, and securing the location and other logistics, as required. In addition, this job is very much about people, about forming strong relationships with your leader and co-workers, and about understanding how to leverage the human capital within the enterprise to help the General Manager and her team flourish. This is a temporary remote (until further notice) contract for the next 10 months in the Glendale, CA area.
Responsibilities include:
Schedule Senior Executives from across the company for various meetings with each of the startups in the Accelerator program
Organize and distribute Accelerator program materials (schedules/company, spreadsheets) that facilitate program operations
Execute travel schedules worldwide; roll calls and messages; plan ahead for conference rooms, Zooms, etc.; and manage a heavy and often-changing calendar;
Read relevant newspapers and trade journals so you understand the mission of the office;
Purchase all office supplies for the department, pay invoices, handle mail and shipments, and manage purchase orders and vendor contracts;
Prepare regular reports and summaries -- you'll have tasks that you ""own"" completely;
Collaborate on projects by conducting research, writing and fact-checking
Assist with on-boarding new employees – you'll be the ""friendly face"" that newbies count on to answer all their questions, including many who are quite senior in the organization
Plan high-profile, complex events like Demo Day, Open Houses and off sites as well as
smaller-scale gatherings such as team meals

Basic Qualifications:
At least 5 years supporting a Director or above and/or equivalent experience
Sharp, professional written and verbal communication skills, including clean grammar and a robust vocabulary
Ability to multi-task and prioritize deadlines/deliverables
Strong proficiency with all types of computers, phones and office equipment (please note there is a Mac-dominant preference on this team)
Mastery of Microsoft Office programs and Google Suite
A calm head and steady hand to deal with the unexpected
Confidence to learn new programs, hardware and software when necessary
Complete integrity and reliability handling confidential information
Desire to truly be helpful to your leader and co-workers, to go the extra mile without being asked, to build solid inter- and intra-team relationships
Some flexibility in your schedule – we value work/life balance, but in a pinch, a bit more time is needed

Very strong organizational skills and attention to detail
An exceedingly professional and welcoming demeanor, positive outlook and a can-do attitude. This final point cannot be underestimated.

Preferred Qualifications:
Good working knowledge of Slack, Zoom, PowerPoint, Keynote
Good skills in SAP, SharePoint and Concur preferred or ability to quickly learn them if unfamiliar
Enthusiasm to bring and consistently stay up-to-date on best practices in organization and team data management
Experience working in a large publicly-traded company

Must Haves:
Use of MAC computer, able to take direction from others on the team, relationship building skills are a must, excellent Communication – written & verbal skill.
Poise under pressure – cool, calm & collective, Organized, able to anticipate problems and able to manage them, comfortable w technology.

Hours:
9:00am to 6:00pm PST
Commitment to Safety

We are taking a responsible approach to creating environments that allow us to do what we do best – entertain and inform millions around the world. As part of our commitment to health and safety, COVID-19 vaccines are required for U.S. Staff Augmentation/Agency Temporary workers placed on an assignment at any U.S. location unless legally exempt.
Come work for the Happiest Place on Earth!

Volt is seeking an Executive Assistant in the Glendale, CA area. The Assistant is responsible for the day-to-day workings of the General Manager and her team. The Assistant would work closely with the Executive Assistant to the Vice President, Corporate Innovation. Specific activities, such as our end-of-program Demo Day, will include scheduling 100+ executives, interacting regularly with their Executive Assistants, and securing the location and other logistics, as required. In addition, this job is very much about people, about forming strong relationships with your leader and co-workers, and about understanding how to leverage the human capital within the enterprise to help the General Manager and her team flourish. This is a temporary remote (until further notice) contract for the next 10 months in the Glendale, CA area. Responsibilities include: •Schedule Senior Executives from across the company for various meetings with each of the startups in the Accelerator program •Organize and distribute Accelerator program materials (schedules/company, spreadsheets) that facilitate program operations •Execute travel schedules worldwide; roll calls and messages; plan ahead for conference rooms, Zooms, etc.; and manage a heavy and often-changing calendar; •Read relevant newspapers and trade journals so you understand the mission of the office; •Purchase all office supplies for the department, pay invoices, handle mail and shipments, and manage purchase orders and vendor contracts; •Prepare regular reports and summaries -- you'll have tasks that you ""own"" completely; •Collaborate on projects by conducting research, writing and fact-checking •Assist with on-boarding new employees - you'll be the ""friendly face"" that newbies count on to answer all their questions, including many who are quite senior in the organization •Plan high-profile, complex events like Demo Day, Open Houses and off sites as well as •smaller-scale gatherings such as team meals Basic Qualifications: •At least 5 years supporting a Director or above and/or equivalent experience •Sharp, professional written and verbal communication skills, including clean grammar and a robust vocabulary •Ability to multi-task and prioritize deadlines/deliverables •Strong proficiency with all types of computers, phones and office equipment (please note there is a Mac-dominant preference on this team) •Mastery of Microsoft Office programs and Google Suite •A calm head and steady hand to deal with the unexpected •Confidence to learn new programs, hardware and software when necessary •Complete integrity and reliability handling confidential information •Desire to truly be helpful to your leader and co-workers, to go the extra mile without being asked, to build solid inter- and intra-team relationships •Some flexibility in your schedule - we value work/life balance, but in a pinch, a bit more time is needed Very strong organizational skills and attention to detail •An exceedingly professional and welcoming demeanor, positive outlook and a can-do attitude. This final point cannot be underestimated. Preferred Qualifications: •Good working knowledge of Slack, Zoom, PowerPoint, Keynote •Good skills in SAP, SharePoint and Concur preferred or ability to quickly learn them if unfamiliar •Enthusiasm to bring and consistently stay up-to-date on best practices in organization and team data management •Experience working in a large publicly-traded company Must Haves: Use of MAC computer, able to take direction from others on the team, relationship building skills are a must, excellent Communication - written & verbal skill. Poise under pressure - cool, calm & collective, Organized, able to anticipate problems and able to manage them, comfortable w technology. Hours: 9:00am to 6:00pm PST
Recommended Skills
Attention To Detail Audio Equipments Communication Confidentiality Coordinating Curiosity
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 322601
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Attention', 'To', 'Detail', 'Audio', 'Equipments', 'Communication', 'Confidentiality', 'Coordinating', 'Curiosity']];https://www.careerbuilder.com/job/J3W1TF6HBLTVQNJ38G9
33;Robert Half Beverly Hills, CA Full Time;Desktop Support Analyst;Californie;$70,000 - $90,000/Year;"Ref ID: 00320-0012137062

Classification: Desktop Support Analyst

Compensation: $70000.00 to $90000.00 yearly

You might be right for Robert Half's new job opening, if you are a Desktop Support Technician with a flair for clearly breaking down and explaining convoluted technical information in a way that is easily understood by non-technical users. In this role, you will have the opportunity to work in the Legal industry. We're looking for self-starters with strong problem-solving skills and a passion for working in an innovative environment. This Desktop Support Analyst role is a permanent opportunity based in the Beverly Hills, California, area.

How you will make an impact

- Support, examine, and repair computer systems, hardware, printers, and computer peripherals

- Create records of daily data communication transactions, issues and remedial actions taken or installation activities

- Deliver computer desktop support in accordance with established policies and procedures

- Resolve computer problems, and give guidance on appropriate action/solutions

- Administer support on a variety of computer hardware and software issues by identifying, researching, and resolving technical problems

- hardware repairs with the appropriate vendors

- Communicate regularly and effectively with ticket submitters
- Comprehensive knowledge of Windows OS

- Knowledge of Ticketing System

- Knowledgeable when it comes to writing reports, business correspondence, user instructions, and procedure manuals

- Desktop support or related experience

Technology Doesn't Change the World, People Do.®
Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.
Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.
Questions? Call your local office at
1.888.490.4429. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit [ Link removed ] - Click here to apply to Desktop Support Analyst for more information.
© 2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.
Recommended Skills
Business Correspondence Computer Architectures Corrective And Preventive Action (Capa) Desktop Support Innovation Issue Tracking Systems
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 00320-0012137062
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Business', 'Correspondence', 'Computer', 'Architectures', 'Corrective', 'And', 'Preventive', 'Action', '(Capa)', 'Desktop', 'Support', 'Innovation', 'Issue', 'Tracking', 'Systems']];https://www.careerbuilder.com/job/J3P42875P3YW3FQB4JG
34;Holderson Data Los Angeles, CA Full-Time/Part-Time;Data Entry Jobs Online - Remotely Work At Home (Remote);Californie;$13.00 - $22.00/Hour;"Data Entry Jobs Online - Remotely Work At Home (Remote)

We are actively searching for folks who have a desire to work from home doing data entry like tasks as a home based work from home mostly focus group participant and survey researcher. This gig requires no formal experience. You will need to provide a computer, smart phone or laptop and have access to a secure internet connection.

Please apply online through our web site. We recommend that you go through Career Builder to apply.

This is a work from home gig that you would be doing on the side, make your own hours. If you're already online playing games and surfing the internet then simply add a few tasks to your day and earn extra income.

No experience required, no degree or formal education required - so get started today!

Data Entry Jobs Online - Remotely Work At Home (Remote)

www.OpinionHire.com





Perform data entry in EMR
Prepare information for data entry
Perform entry-level support for the data entry function
Perform data entry on computers
Perform data entry of credits
Provide entry-level administrative support to the data entry function
Perform high volume data entry work
Perform data entry of new applications
Complete clerical functions or data entry tasks
Perform data entry duties typing, faxing
Delete data entry errors and enter corrections
Maintain data entry requirements by following data program techniques
Do entry into application and work with dealers to ensure data entry is
Train new data entry employees on computer system
Perform routine clerical and data entry functions
Ensure timely data entry and file management
Operate data entry devices to perform a variety of keypunching data entry and verification duties
Established for each client for data entry
Review and verify data prior to entry
Perform daily audits and data entry corrections
We're looking for voices and feedback from Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming
Recommended Skills
Customer Support Data Entry Positions Excel Spreadsheet Creation Research Survey Typing Work Verifies Data
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Customer', 'Support', 'Data', 'Entry', 'Positions', 'Excel', 'Spreadsheet', 'Creation', 'Research', 'Survey', 'Typing', 'Work', 'Verifies', 'Data']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW0
35;Jobot Los Angeles, CA Full Time;Unified Communications Engineer II;Californie;$75,000 - $88,000/Year;"The Unified Communications II will independently plan, install, integrate and validate network software and hardware solutions. Serves as a resource to less experienced team members on escalated issues of a routine nature.

This Jobot Job is hosted by: Brett Walker
Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
Salary: $75,000 - $88,000 per year

A bit about us:

Leading Healthcare System based in Los Angeles, CA

Why join us?

Great career growth and amazing benefits package - Onsite required local to LA.

Job Details

Summary:
The Unified Communications II will independently plan, install, integrate and validate network software and hardware solutions. Serves as a resource to less experienced team members on escalated issues of a routine nature. Acquires and applies broad knowledge of client, its services and processes. Resolves issues and navigates obstacles to deliver work product. Delivers technical solutions for the voice network infrastructure, WAN, and wireless. Develops, manages and tests disaster recovery solutions. Maintains and tests disaster recovery solutions. Participates in the evaluation, development, implementation, integration and administration of internal and external business solutions. Provides insight to management on issues. Supports the mission, vision, values and strategic goals of client.

Minimum Education:
Bachelor Science in Computer Science, Information Systems, Computer Engineering, or related field
Cisco Certified Network Associate (CCNA) certificate preferred
Cisco Certified Network Professional (CCNP) certificate preferred
Avaya Certified Integration Specialist (ACIS)/ Avaya Implementation Professional Specialist (AIPS) certification preferred
Microsoft Certified Technology Specialist (MCTS) certification preferred

Minimum Experience/Accountabilities:
5+ years of relevant business support and/or information technology support experience
9 years of relevant business support and/or information technology support experience if no Bachelor of Science in Computer Science, Information Systems, Computer Engineering, or related field.
Working knowledge of designing, installing, specific to Nortel, Avaya and Cisco and service providers such as AT&T
Familiarity with ITIL Frameworks
Requires a maturing level of analytical ability to find solutions to increasingly difficult technical or administrative problems, to determine economic feasibility or options available, and to assess time involved in system changes. Thorough documentation and business language skills are also required
Must be able to demonstrate expert level experience with Nortel/Avaya system design, Cisco wired/wireless phones, PRI/Smart trunk configuration, NXX number plans and trunk routing, capacity planning and capacity management
Requires hands-on expertise with Nortel/Avaya and Cisco Unified Communications phone equipment, cable infrastructure and WAN circuits
Strong customer service skills. Requires a professional approach in all situations
Strong communication and interpersonal skills. Must be able to communicate the impact and solutions of application/system problems in business language
Provide after-hours and weekend on-call support for service-related issues to support 24/7 operations.
Able to solve complex problems and take a new perspective on existing solutions by either completing the work or gathering all of the resources needed for ultimate resolution and continuity of problem management
Able to effectively interpret customer needs, assess requirements and identify solutions to nonstandard requests
Able to make appropriate decisions within guidelines and policies
Able to act as a resource for colleagues and provide mentoring and coaching
Willing to travel between on-site and remote site locations 20% of the time
Intermediate ability to implement, configure, and administer Cisco Call Manager, Call Center & Unity environment and Nortel TDM and VoIP platforms.
Intermediate knowledge of Telco services (PRI, DID, POTS, GS/LS Trunks, SIP Trunks)
Understanding of TCP/IP, routing and switching protocols including SIP, LAN, WAN, VLAN
Experience working with Cat5e/6 cabling and tools
Experience cabling routing Cisco Router and Switches


Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button.
Recommended Skills
Acoustic Control Induction Systems Administration Analytical Business Support Systems Call Centers Capacity Management
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 679115551
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Acoustic', 'Control', 'Induction', 'Systems', 'Administration', 'Analytical', 'Business', 'Support', 'Systems', 'Call', 'Centers', 'Capacity', 'Management']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW1
36;Jobot Pasadena, CA Full Time;Sr. Perception Software Engineer;Californie;$160,000 - $190,000/Year;"Great salary, Full Benefits, AND Stock Options!!!

This Jobot Job is hosted by: Matt Lopez
Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume.
Salary: $160,000 - $190,000 per year

A bit about us:

A new innovative robotics company located in Pasadena looking to disrupt the restaurant/kitchen industry. This company is building a robotic arm on a rail that fits into existing kitchens along existing cook lines and is designed to work with existing equipment alongside kitchen workers

Why join us?

Unlimited PTO policy
Comprehensive benefits offerings
401K plan
Education reimbursement program
Competitive pay
Advancement opportunities

Job Details

Requirements:
MS in Perception/Computer Vision
3+ years in camera calibration/synchronization, object pose estimation, classification, and deep machine learning
Linux and version control
Develop architectures using CNNs/Seq-to-Seq models in Tensorflow/Pytorch to solve computer vision problems for robotics
Integrate perception solutions with ROS

Preferred Qualifications:
4+ years of experience using deep learning for computer vision
Experience using deep learning for object pose estimation and tracking
Experience in software engineering practices: specification, design, review, implementation
Experience delivering a commercial product that relies heavily on computer vision
Experience working with perception in robotics

Interested in hearing more? Easy Apply now by clicking the ""Apply Now"" button.
Recommended Skills
Calibration Computer Vision Deep Learning Linux Machine Learning Robotics Design And Production
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 1821128295
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Calibration', 'Computer', 'Vision', 'Deep', 'Learning', 'Linux', 'Machine', 'Learning', 'Robotics', 'Design', 'And', 'Production']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW2
37;Robert Half Beverly Hills, CA Contractor;Facilities Assistant;Californie;$18.00 - $21.00/Hour;"Ref ID: 00320-0012134047

Classification: Administrative Assistant

Compensation: $18.00 to $21.00 hourly

Our global music company is looking for two Facilities Assistants to start immediately. As the Facilities Assistant you will help help with mail distribution, assisting with setting up computers, setting up the office for functions, setting up desks and work spaces and all other clerical functions. This job requires you to be on your feet most of the day, so you must enjoy that type of work. For the right candidate, this could lead to a full time position with excellent benefits.

Your responsibilities in this role

- Support a variety of projects for other employees

- Answer telephone calls

- Receive and tend to visitors

- Complete word processing, filing, and faxing
- At least 1 year of Administrative Assistant experience preferred

- Skills in internet research

- Excellent written, verbal and social communication skills highly desired

- Competent computer skills including word processing, spreadsheets and presentation software, as well as databases and customer database systems

- Receptionist Duties experience desired

If you are a passionate self-starter that is looking to contribute to a dynamic and growing company and is looking to thrive in a creative environment, we would love to hear from you! This opening will be staffed by the end of the week, so don't delay - contact us now!

.

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.
Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.
Questions? Call your local office at
1.888.490.4154. All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals. Visit [ Link removed ] - Click here to apply to Facilities Assistant for more information.
2021 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use.
Recommended Skills
Administration Communication Databases Passionate Presentation Programs Research
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 00320-0012134047
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Administration', 'Communication', 'Databases', 'Passionate', 'Presentation', 'Programs', 'Research']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW3
38;Cortech Los Angeles, CA Contractor;Field Engineer 2;Californie;$25.90/Hour;"As a Field Engineer 2, your primary responsibility will be installing, diagnosing, servicing maintaining High-end client proprietary products as well as other computer-related products such as desktop and laptop computers, printers, standard software, high-end servers, networking devices, and large scale payment products.
When in support of ITO engagements you will be recognized as desk side support specialist.
You may be directed by Help Desk, Service Desk, or script using standard methods, techniques, and tools.
You will handle more complex products, problems, and/or projects and may provide technical guidance to lower level engineers.
You may function as a team or on-site leader as necessary.
You will provide technical support to customers in solving technical problems that occur during the installation or operation of company supported products.
Responsibilities:
May function as team or site leader providing direction to other technicians
Performs server and storage break and fix.
Provides support for Enterprise products, such as Dell ESF
Desk side support specialist
Provides support for enterprise storage products
Supports Networking products - including Cisco certification requirements
Provides support for Payment systems products and client core-CMOS products
May have project management responsibilities for smaller projects
Possesses other, high skilled, specialized technical skills.
Provides support for software, hardware and networking support for desktops, laptops and servers
Provides maintenance and support on legacy products
Installs and maintains PCs and associated software, networks, servers and peripherals
Performs installs, moves, adds and changes as required
Tests and certifies PCs, networks, servers and client approved applications
Provides follow-up on problems or escalation.
Maintains a high degree of professionalism in actions, demeanor and dress.
Ensures customer satisfaction throughout the service delivery transaction
Ensures client specific Service Level Agreements are met and incident and request tickets are updated accordingly within the ticketing system

Recommended Skills
Cisco Certified Complementary Metal Oxide Semiconductor (Cmos) Customer Satisfaction Help Desk Maintenance Networking
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: 969206
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Cisco', 'Certified', 'Complementary', 'Metal', 'Oxide', 'Semiconductor', '(Cmos)', 'Customer', 'Satisfaction', 'Help', 'Desk', 'Maintenance', 'Networking']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW4
39;Finks Cars Los Angeles, CA Full Time;Administrative Assistant;Californie;Apply Now;"We are looking for a multi-tasker with excellent communication skills and an upbeat attitude. Candidates should be able to assist management and all visitors to the company by handling office tasks, providing polite and professional assistance via phone, mail, and e-mail, making reservations or travel arrangements, and generally being a helpful and positive presence in the workplace.
Administrative Assistant Responsibilities:
Handling office tasks, such as filing, generating reports and presentations, setting up for meetings, and reordering supplies.
Providing real-time scheduling support by booking appointments and preventing conflicts.
Screening phone calls and routing callers to the appropriate party.
Using computers to generate reports, transcribe minutes from meetings, create presentations, and conduct research.
Greet and assist visitors.
Maintain polite and professional communication via phone, e-mail, and mail.
Administrative Assistant Requirements:
Associate’s Degree in a related field.
Prior administrative experience.
Excellent computer skills, especially typing.
Attention to detail.
Multilingual may be preferred or required.
Desire to be proactive and create a positive experience for others.
Recommended Skills
Administration Administrative Organization Clerical Works Field Administration Time Management
Help us improve CareerBuilder by providing feedback about this job:
Report this job
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Administration', 'Administrative', 'Organization', 'Clerical', 'Works', 'Field', 'Administration', 'Time', 'Management']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW5
40;Manpower Carson, CA Full Time;Maintenance Manager;Californie;$90,000 - $130,000/Year;"Requirements:
* Minimum of 3 years of leadership experience in manufacturing in the maintenance area
* Proven skills in the areas of electrical, PLC, and computer controlled equipment required
* Experience in preventative maintenance and predictive maintenance methods
* Strong mechanical knowledge of manufacturing processes
* Ability to identify root cause of problems and effectively initiate immediate corrective action to prevent recurrence
* Must have excellent interpersonal, problem-solving, analytical communication skills
* Working knowledge and ability to utilize personal computers and software
* Four-year degree in mechanical, electrical, or industrial engineering or similar technical discipline desired
* Supervisory experience, preferably in related industry
Recommended Skills
Analytical Communication Corrective And Preventive Action (Capa) Industrial Engineering Leadership Maintenance
Help us improve CareerBuilder by providing feedback about this job:
Report this job
Job ID: USA_620138
CareerBuilder TIP
For your privacy and protection, when applying to a job online, never give your social security number to a prospective employer, provide credit card or bank account information, or perform any sort of monetary transaction. Learn more.
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder Terms and Conditions for use of our website. To use our website, you must agree with the Terms and Conditions and both meet and comply with their provisions.";[['Analytical', 'Communication', 'Corrective', 'And', 'Preventive', 'Action', '(Capa)', 'Industrial', 'Engineering', 'Leadership', 'Maintenance']];https://www.careerbuilder.com/job/J4R4NS6FXY8NTWJ3XW6
